region_name,year,month,LAI,LST_Day,NDVI,EVI,FPAR,LST_Night
Donetska,2023,9,0.015799816580077636,300.1669196082158,0.3053493538860211,0.13951220781871762,0.10974147455243843,283.63333500300354
Ivano_Frankivska,2023,9,0.04520591860678994,296.8499712978054,0.45201802310540645,0.2575087311965855,0.19828354296000264,284.7019650565024
Kharkivska,2023,9,0.01804537092941927,299.5782738314176,0.3163271882313278,0.14565890074351767,0.12078165717792791,282.5776335253657
Khersonska,2023,9,0.01508088481504104,303.82928570583806,0.25478868251425696,0.13292245899034202,0.09695249155334165,284.60191898154864
Khmelnytska,2023,9,0.035345519967331124,299.1563567704725,0.3720193857719891,0.21477004269008945,0.16993887297511892,284.1684403229083
Kirovohradska,2023,9,0.016107308430630404,302.3816529432094,0.27213353065911844,0.13417898644930823,0.10797040572357644,284.02407406241616
Luhanska,2023,9,0.01747587049868838,300.6629137529582,0.3014942825018776,0.1430904453151723,0.11518121838110257,282.803936503738
Lvivska,2023,9,0.04766133015129965,296.2128518495374,0.45254345415338787,0.26368499830750475,0.2072094233786944,284.5710218305444
Mykolaivska,2023,9,0.013019087692362175,304.7042933472469,0.2506281211655436,0.12136847108369274,0.08914714702242778,285.07907859591245
Odeska,2023,9,0.012889253104188559,305.03240326050405,0.2333754181005495,0.1189678127549165,0.08273391212609506,285.8928998160266
Poltavska,2023,9,0.03191034229944862,299.36063779005576,0.3536587511096628,0.18864619025015203,0.155958717221308,283.14463435398613
Rivnenska,2023,9,0.0388315407221404,297.9909568278426,0.3978581444112359,0.24384276921009168,0.18782548811841257,284.7309127513861
Sumska,2023,9,0.033692051522709064,297.66813198824696,0.37657979904363836,0.19969900781634872,0.17465257156388,282.14235351279785
Ternopilska,2023,9,0.0338127071644263,299.55882584440434,0.3716986303091369,0.2075422693459566,0.16119859271303125,284.3245425834003
Vinnytska,2023,9,0.02859916666510808,300.1694846714849,0.33573411046353274,0.18836260207656347,0.15235981673549714,284.1167220769228
Volynska,2023,9,0.04189212276211967,296.1840206629643,0.42012403942275267,0.24822616399352873,0.19822636378935712,284.8714942259707
Zakarpatska,2023,9,0.03758538975915979,298.10433569604544,0.4095793902430942,0.22735738298260375,0.18260728851584548,285.5414611866094
Zaporizka,2023,9,0.013986670504728307,302.98131008406557,0.26675093214211004,0.13068646015159002,0.09647285889749155,284.62907364636794
Zhytomyrska,2023,9,0.03677951697024683,298.2640877903219,0.37512882050254803,0.22108905019035116,0.17769060295662492,283.3103300850652
Avtonomna_Respublika_Krym,2023,3,0.021286373279731402,274.4877734034538,0.3643679049752299,0.21508708632414117,0.1121822069317871,248.44978248780416
Cherkaska,2023,3,0.01393610532423241,263.67661796455945,0.36357765897412153,0.17919404191635913,0.08420248681966418,261.1553524759074
Chernihivska,2023,3,0.012403548635358468,261.35584247436833,0.34299828158186774,0.17574850141313947,0.08068117779909591,260.1152440136982
Chernivetska,2023,3,0.02770414357267974,283.5838819775686,0.4017273282501809,0.2544424325261158,0.13766537661462566,234.35292181841083
Dnipropetrovska,2023,3,0.007972421155324006,240.77310091815497,0.303965472154878,0.1382594418119892,0.05660032149302362,245.31131001301674
Donetska,2023,3,0.006488579856709077,246.23499028884075,0.25278690100679796,0.11527949215571129,0.04667946842722897,252.21288172943696
Ivano_Frankivska,2023,3,0.032006163239950695,284.20786832209063,0.4443484685337887,0.283502090719253,0.1620388049718959,214.44712356424606
Kharkivska,2023,3,0.006850982631162286,275.15877014857557,0.23100902697435685,0.09038701282099924,0.04538489527798147,237.14216155077963
Khersonska,2023,3,0.018519667317172153,230.66669284087254,0.38217607863473113,0.2181589938416171,0.10228524445685118,256.19619947403237
Khmelnytska,2023,3,0.015390165187860367,270.43366069097516,0.35581502372865315,0.19635162002837744,0.08750392483351323,251.77247343680196
Kirovohradska,2023,3,0.00934752744167403,247.72322111804797,0.3060344810500882,0.13885545787156156,0.05941332632867042,265.0938203514257
Luhanska,2023,3,0.00649237867044786,275.31061574856415,0.2565077211530786,0.1094512137117458,0.044956565085914786,219.9607357914
Lvivska,2023,3,0.022146669288687044,252.26058294140466,0.4008120587490276,0.24674669456751078,0.12336035452750385,199.05214078185625
Mykolaivska,2023,3,0.016577942509012306,260.99910169577976,0.3587217139424704,0.18843874803792582,0.09449407050013936,269.8342475445389
Odeska,2023,3,0.021598813030014832,282.7299066077614,0.3839660785222366,0.2125409547723717,0.1135398225635836,267.68344188722085
Poltavska,2023,3,0.009383989845414747,264.7860420206397,0.29676018766185536,0.13016872296429072,0.06036602457665354,258.28864744627197
Rivnenska,2023,3,0.013737772693881007,266.3792896536024,0.3465377526958808,0.19904992299378846,0.08820706327007485,230.81829965742898
Sumska,2023,3,0.008439822734300932,278.82226696376733,0.31778776220637844,0.1318390816447202,0.05661190641528021,225.71390473043758
Ternopilska,2023,3,0.021353093550100344,279.98248799523,0.3989906403392501,0.23585501882875953,0.11933785452231188,225.46004258152766
