region_name,year,month,EVI,LST_Day,NDVI,LST_Night,LAI,FPAR
Lvivska,2018,7,0.36621769722123665,257.0778803996826,0.5340285424290481,279.468193906668,0.07227160137612085,0.21188763048501416
Mykolaivska,2018,7,0.23480353937165496,308.64570119555947,0.3913511472509211,289.02631830394796,0.04005546644888709,0.15885313308645305
Odeska,2018,7,0.2111222061965095,305.5004025053167,0.3606565282795003,277.9309854090488,0.03643083473983466,0.1456837478277676
Poltavska,2018,7,0.4366772545494497,301.097835789179,0.5977844923186778,269.0577571073242,0.10788659167752376,0.2684674937382507
Rivnenska,2018,7,0.37680749501994637,284.5525032090204,0.5349174144009274,268.1092277697221,0.0822355737808279,0.2285359966659312
Sumska,2018,7,0.44484789157694643,297.84785992696857,0.5995877597353583,257.3568597605532,0.11377377921835714,0.269270529712845
Ternopilska,2018,7,0.37711737158858555,278.2600299193859,0.5234113325510009,283.0730527219653,0.07724648702194976,0.21799798355916256
Vinnytska,2018,7,0.40441771189144826,291.38104918124225,0.5612095955064748,264.4970483903297,0.08991415162077332,0.23604682682486217
Volynska,2018,7,0.34711790430038314,290.1777003897981,0.509134465240405,255.97426314766562,0.07183838016776314,0.21581825687380346
Zakarpatska,2018,7,0.3496188347853502,303.98332159905067,0.5190802295318996,230.03857600133296,0.06680930934575346,0.22119879631271827
Zaporizka,2018,7,0.1796786003695646,310.52626388258835,0.30571916077619765,291.77290723534816,0.023820992895782135,0.11211374266833428
Zhytomyrska,2018,7,0.40739853615330335,284.6403464623637,0.5637322126642299,247.8599967369389,0.09291317240409169,0.24027106154890818
Avtonomna_Respublika_Krym,2018,10,0.16529468444401502,292.3450232701903,0.3254493718528811,278.4864351423734,0.0165062354594475,0.11398065394693853
Cherkaska,2018,10,0.17138901584034108,274.5545978762065,0.35407338981197173,274.1345889964364,0.018651142602073793,0.1107180704022247
Chernihivska,2018,10,0.16339776966856415,216.10819782460635,0.3179431632130253,270.3189679184342,0.01455822987319804,0.09248748723818553
Chernivetska,2018,10,0.17341220785038575,291.55273977041315,0.3293661509612453,233.46148540440717,0.018707990482147475,0.1231177013966888
Dnipropetrovska,2018,10,0.16003283683552064,288.14503310592613,0.34431910628260315,275.1330023670783,0.01390260481899797,0.1011154960493037
Donetska,2018,10,0.11106264480663731,293.5472839491617,0.277214465217283,275.41173020151695,0.008825404965662099,0.06971569135800532
Ivano_Frankivska,2018,10,0.20625525745752757,290.47604678873927,0.37880035388343775,227.3905939733254,0.02424128648515938,0.1451968663957295
Kharkivska,2018,10,0.11216031758412734,284.6205044952184,0.3042039235251083,259.5584533352799,0.009082117219580289,0.06943257543386054
Khersonska,2018,10,0.15531411177553764,292.7726693913747,0.3027470879295273,277.45292052516464,0.014414256660727785,0.1008537072001498
Khmelnytska,2018,10,0.17179581961028784,282.9715734434602,0.3556473351657161,255.82624695455846,0.018478564802045797,0.11414939176347484
Kirovohradska,2018,10,0.14508471458046943,273.37818788442155,0.33726498453061327,276.26498318247786,0.014097987473512721,0.09380721402121897
Luhanska,2018,10,0.10362497123362818,287.2957395358991,0.26174446891120645,261.70249142631,0.00856676191913408,0.06658211192289108
Lvivska,2018,10,0.24306602689517157,290.0341816813073,0.4257813234782732,273.4530835198512,0.03210961162163071,0.17280786257558373
Mykolaivska,2018,10,0.17561639874721666,287.6706861672706,0.3715792793787879,276.8687333347778,0.01879195654875705,0.12179005401251868
Odeska,2018,10,0.16752948534289133,255.94222637649207,0.34036147719866244,278.5772306874534,0.01471828323619502,0.09696449387506507
Poltavska,2018,10,0.12879890272467684,226.76222578471302,0.30264407714465685,274.9730419933584,0.010891925853618999,0.07451323932123224
Rivnenska,2018,10,0.19874861279776831,290.3113792665581,0.3720966028221572,262.32533345139893,0.022128088903235445,0.13795359274379237
Sumska,2018,10,0.12228388831291408,221.8688320055065,0.30041428719260477,268.48785203720325,0.010851037485282983,0.07646119503024937
Ternopilska,2018,10,0.17750135326650773,289.6521739458959,0.3672416537855987,242.26142917448027,0.020944613845473962,0.12443752538109158
Vinnytska,2018,10,0.17054446499923342,287.68248897751613,0.3492120014639198,262.83341618603055,0.018852166600877764,0.11645440563989926
Volynska,2018,10,0.2325545466990119,290.4572197005761,0.40041703853559757,259.99975994671627,0.02802592415730129,0.15969221036398043
Zakarpatska,2018,10,0.1383580950743405,293.15285247565487,0.2818373790214298,278.5300962868331,0.013104370789887831,0.10096050726702223
Zaporizka,2018,10,0.16000089230976766,294.00746753943747,0.3385615629846125,272.5965627402561,0.015319585978755348,0.105441190635331
