region_name,year,month,LST_Day,LAI,LST_Night,FPAR,NDVI,EVI
Chernivetska,2013,7,300.5447262696641,0.09312923661925084,287.71064564789634,0.2498424403510033,0.5485327132918189,0.3946920212240035
Dnipropetrovska,2013,7,302.59795514695264,0.04585257404936021,288.71350206857875,0.18629497023110017,0.432094541561529,0.2792701583042436
Donetska,2013,7,304.7307416656627,0.03701233366510502,288.59319347099574,0.1577120211810959,0.374093488611493,0.21997456209997188
Ivano_Frankivska,2013,7,300.47984918923834,0.0804941411756884,287.4990251866188,0.23826433571431047,0.5129052272191997,0.35140996604805863
Kharkivska,2013,7,294.5840623511872,0.04842605557036551,287.7211513459312,0.18326228723211027,0.4353604971081595,0.2679519334576681
Khersonska,2013,7,309.90188469726456,0.035160872644592146,290.1957670676528,0.14403919395689474,0.32828204898427404,0.20530333032789994
Khmelnytska,2013,7,290.8167586269297,0.1004726696078762,287.0819367157488,0.254111928493088,0.5726970367486927,0.41577004847985666
Kirovohradska,2013,7,296.66478077010663,0.07213156149546687,288.18740696036855,0.22193608765273068,0.5105889775192435,0.35175670839632184
Luhanska,2013,7,300.63734973565454,0.04227995019706963,288.06765724124676,0.1667608291459586,0.40262577326027194,0.22232096823200723
Lvivska,2013,7,295.5879042665526,0.08016890300368548,287.559601701725,0.2363300161454408,0.515507705193099,0.3603391192817253
Mykolaivska,2013,7,305.58606376379925,0.05596911945461247,289.8385927877942,0.19868619406837298,0.4483707210931567,0.29422447215088554
Odeska,2013,7,306.479502602551,0.05126795881826153,290.23372643103505,0.18696677792416547,0.4137731617252266,0.26185700165904047
Poltavska,2013,7,294.3722189105363,0.07911456551078849,288.0333480021121,0.22870826251936482,0.5217533248510299,0.37387931098952326
Rivnenska,2013,7,296.9098125565582,0.07433813082362498,285.31658477142093,0.22605403017814066,0.5143170810708865,0.3591190719138972
Sumska,2013,7,295.4344276261425,0.07970208388637938,287.14509239888406,0.22646840952168082,0.5278612367500932,0.3571652150757237
Ternopilska,2013,7,298.95339405490955,0.08888343685479258,287.3950583623762,0.24513418439018914,0.5453230588105497,0.37703478547004504
Vinnytska,2013,7,291.6414117219699,0.08457456677315213,287.8218538410248,0.23127275880389891,0.5305426171329755,0.37997083709280305
Volynska,2013,7,289.64847141199493,0.06722146104026148,287.6620135257722,0.2189302935881699,0.4851241911619397,0.33754799678658365
Zakarpatska,2013,7,306.23731227580663,0.05235190884274953,288.6194919978486,0.1995376912604688,0.43917797633809275,0.29400506696052686
Zaporizka,2013,7,308.98770781925225,0.03682845119697374,289.50207931016365,0.15587237963679068,0.3463750678447703,0.2066883300216351
Zhytomyrska,2013,7,290.8213459578822,0.09375736696008484,287.1913122132258,0.24680728099398225,0.5699170859091589,0.4019227374534939
Avtonomna_Respublika_Krym,2013,6,309.43838879594296,0.028654784803551082,290.6686726437362,0.12280497393883812,0.34689147220381233,0.20468554351352503
Cherkaska,2013,6,301.4515392906108,0.11138902091804684,251.81770959145558,0.2762918474836348,0.5912381800243954,0.42776960175650897
Chernihivska,2013,6,302.14784917762194,0.09912058186508156,288.92323412947854,0.26455156868121776,0.5799727621512265,0.4107162414193486
Chernivetska,2013,6,290.96121947923285,0.09784003034060137,285.98459093138786,0.2596915717681619,0.5897541104359714,0.4172603855803812
Dnipropetrovska,2013,6,306.1672173175139,0.04940629662739023,288.77683756012425,0.19756077947707373,0.49041934710857826,0.3316184583730724
Donetska,2013,6,308.38473624224264,0.04763303403046451,285.13566442122976,0.1884990172584871,0.4574506662770445,0.29432813955700515
Ivano_Frankivska,2013,6,290.2475551957667,0.10736630457716266,284.9051884871563,0.2718713155896693,0.5873029939200806,0.41627346333953286
Kharkivska,2013,6,304.8852122942654,0.066731198261562,260.01208733748257,0.2252004660376102,0.5148430674925247,0.3460451592483849
Khersonska,2013,6,308.36564287164884,0.036569447203978804,288.21309644826476,0.14850144443871116,0.37830322224765184,0.24051210613961338
Khmelnytska,2013,6,283.53220027365535,0.09551047784286919,285.1296654060507,0.25477467760253975,0.6047745172479557,0.43639622250688614
Kirovohradska,2013,6,304.5710244539925,0.07965768961887745,272.86491827966256,0.241726197988938,0.5644760699268319,0.3909078684234553
Luhanska,2013,6,308.4750868640815,0.053783551637759004,276.79422503566195,0.19604230861722077,0.47379516006321204,0.2932266310706075
Lvivska,2013,6,297.6217902152395,0.11648814635202145,272.2682941510369,0.28016518005854335,0.5978470792712064,0.42850897753725364
Mykolaivska,2013,6,305.5124290104106,0.05201708646414242,256.17752817152655,0.18796202381688287,0.48643647704195203,0.3248749660942425
Odeska,2013,6,304.6460496674604,0.052033491592833915,284.7481157451925,0.18807275807599408,0.45644784815373046,0.2979911915482392
Poltavska,2013,6,303.7762268692768,0.09890918054530452,290.0218435012133,0.2672522844882794,0.5954186140364215,0.41814124603525415
Rivnenska,2013,6,297.88491309393714,0.09776325592834956,276.69909148797524,0.26416812164432146,0.576896596260932,0.40993778951159365
Sumska,2013,6,301.8545486481675,0.11168234690097834,288.9848443695098,0.2764091908395136,0.6001987103224208,0.4265395768287281
Ternopilska,2013,6,296.5298026462744,0.09729273685946162,287.40539555722705,0.2619484863149537,0.5947399146718435,0.4154904944156137
Vinnytska,2013,6,294.4536673062899,0.10809760936485834,276.426370952844,0.27157857896858006,0.5941109551180144,0.4239788066888384
Volynska,2013,6,298.1737641300704,0.09773194384703951,273.3433109786783,0.2649738198963722,0.5701379019427494,0.4122140567155902
Zakarpatska,2013,6,302.5272396339048,0.07326429043503863,278.4823993852663,0.23757331868096188,0.5283818425864975,0.35058463486580543
Zaporizka,2013,6,308.62136816792423,0.04062434106647358,289.7960061219139,0.16819145173989758,0.42672928196242316,0.2666505462742481
Zhytomyrska,2013,6,290.2903624995768,0.10141848646575419,286.4426314310355,0.2659185257041301,0.5974025839284814,0.42095935647413174
Avtonomna_Respublika_Krym,2013,8,309.31564881914994,0.021880716674526877,286.1509556012676,0.1067875468923275,0.26747157583784464,0.15283802065296073
Cherkaska,2013,8,298.06700072469243,0.04341977488970129,276.92786443040075,0.16821856436841162,0.395877044718878,0.2193717327191307
Chernihivska,2013,8,290.3711563128364,0.05222083563681166,266.7262618023635,0.19351839430316523,0.46390931606526126,0.26690738841964934
Chernivetska,2013,8,298.0638673137263,0.06820956476754506,277.68883032839574,0.21948458598493123,0.47959855150993974,0.30274350769104774
Dnipropetrovska,2013,8,301.67503768938866,0.021106812215551475,287.3576804768659,0.11673849605833482,0.32107962707283694,0.15695656733165975
Donetska,2013,8,305.5479657882904,0.019977224509911722,288.20400903118224,0.10903236265459545,0.30854117982576973,0.14688886064205775
Ivano_Frankivska,2013,8,267.5823430416963,0.053410194902868545,273.80307650795874,0.19288699475678925,0.46795759849330093,0.2808844662469826
Kharkivska,2013,8,280.53505034144143,0.025487105866395077,285.14255479328335,0.12715287607822914,0.3520114814909843,0.16254979879814424
Khersonska,2013,8,309.8067108639998,0.02028805294564416,289.50061453740045,0.10176101269836689,0.27415736289776543,0.15147684596217817
Khmelnytska,2013,8,299.3040789997061,0.0754655397649219,284.00179642386905,0.2327867180491451,0.4944646066072316,0.31352662794743236
Kirovohradska,2013,8,294.1165847207789,0.029028883338235213,286.77761871946046,0.13330465991918297,0.3456423168746781,0.17630846099650818
Luhanska,2013,8,306.31666516547887,0.02509346422414338,281.0284631316081,0.1260750228813151,0.3404642301175584,0.16424426457790747
Lvivska,2013,8,260.754326236849,0.05283610498671416,284.0734115543695,0.1958082681748248,0.4576871296239328,0.28042045629708606
Mykolaivska,2013,8,307.0368721181971,0.02337323023039904,288.80146706684764,0.11655966797655934,0.32288707696221997,0.16499430324694353
Odeska,2013,8,308.5065553784046,0.023616306579323548,289.0761382095483,0.11470801302456746,0.3121357556126456,0.1632152117319859
Poltavska,2013,8,301.6748190485458,0.037268901930746286,284.77786403733137,0.15555107246397043,0.3856375670102006,0.20094113574294847
Rivnenska,2013,8,295.6060053075945,0.056224182026674736,281.3655923071314,0.2068212142670436,0.44552938879469106,0.2859201311712065
Sumska,2013,8,280.2864848642753,0.044946480147291294,271.7549974848383,0.17162338264963356,0.43191974154632157,0.22746527405198919
Ternopilska,2013,8,296.8599339743258,0.06740456519049319,281.5551038623314,0.21586721600822448,0.47755834150618104,0.2963976997785642
Vinnytska,2013,8,297.9165937069441,0.05648360526253195,285.8563184469196,0.20063164756300267,0.44233002217802514,0.2730874245082417
Volynska,2013,8,294.54482203705504,0.04801041640274169,274.45070258979234,0.19407711292967372,0.4214075644481233,0.2648839120730157
Zakarpatska,2013,8,305.8675754631243,0.03357997787867991,286.8718555898312,0.16098398983801576,0.38756598682708243,0.22627810186621825
Zaporizka,2013,8,309.25885139310475,0.017363635119488893,289.0901255227471,0.09709865526185102,0.27189724532550086,0.13787411520865459
Zhytomyrska,2013,8,294.52973102313433,0.06491483133214111,282.0386222062821,0.21727584906863712,0.48656168867696986,0.30422177574595105
Avtonomna_Respublika_Krym,2013,10,291.0322269698338,0.013242431226245995,277.9507410073574,0.09512410959033031,0.34678190783433466,0.16077798128906762
Cherkaska,2013,10,283.5207027452086,0.011155452795262867,275.7008300296188,0.07747236063197223,0.3366014153819097,0.13735915563583406
Chernihivska,2013,10,239.97695953057556,0.01324084086168726,243.91921303970895,0.08465517203793554,0.3423850507714205,0.1609585010511505
Chernivetska,2013,10,283.3896459300678,0.0201208263884588,271.47837593591964,0.12366309011393914,0.364174956445141,0.18112430740338595
