region_name,year,month,LST_Night,LAI,EVI,FPAR,LST_Day,NDVI
Zakarpatska,2010,4,280.1266915887422,0.05802596278642804,0.34821038400238297,0.21422780770131564,283.95380485337677,0.5066553827169658
Zaporizka,2010,4,277.056565241197,0.024503637366436244,0.2090617450123772,0.11642757410594791,288.92567467838546,0.3943819533980722
Zhytomyrska,2010,4,272.60934335546625,0.0257183766009977,0.23608921195622506,0.12390407498692198,295.24554974880004,0.4043092921542356
Avtonomna_Respublika_Krym,2010,3,255.24039947993535,0.02237112799919706,0.2161041780211167,0.11019905559687684,274.2382022505381,0.3811009459480454
Cherkaska,2010,3,267.74581247447463,0.004022897415621776,0.08381242489665365,0.023809022927057034,277.0219164572987,0.19808170475679807
Chernihivska,2010,3,265.22883257089376,0.0033259490455227335,0.0677871190905191,0.020497927482643775,263.59154324443455,0.1611111041155337
Chernivetska,2010,3,268.2351955161677,0.010111338621457437,0.14039321893382006,0.05892206915073953,281.323045499179,0.2939373271717811
Dnipropetrovska,2010,3,270.1858597777398,0.006834630287128051,0.10582803648202557,0.046108590828616146,282.6164038311064,0.26572453910190336
Donetska,2010,3,270.0848556427053,0.007915625025875022,0.11416580439602331,0.05114695777112799,278.691702452294,0.27314445368578877
Ivano_Frankivska,2010,3,267.99080282030803,0.009504923653540928,0.1378880390209768,0.05626994915889587,270.906942304876,0.2806822969414796
Kharkivska,2010,3,259.6346386821094,0.004771057190124418,0.07202539100099532,0.030936216090982568,279.11392287973166,0.20717595954386228
Khersonska,2010,3,270.99195017805977,0.012695840316522359,0.1520160570815102,0.07346171565195626,280.65126950587324,0.31049686183129255
Khmelnytska,2010,3,266.95137177647547,0.007134337344627671,0.1131860716433677,0.04308582734062407,262.50391695171544,0.24960296946896707
Kirovohradska,2010,3,267.039363638089,0.004454093139218009,0.08119044540425512,0.026524712175809418,279.0488870319142,0.2124536155931112
Luhanska,2010,3,265.80190485702894,0.00610876480006154,0.09333923681713584,0.03830640807451235,278.6942272690574,0.23325784502526242
Lvivska,2010,3,268.1811101657849,0.011989643333411668,0.16114375552396878,0.06897230514191449,271.93269494483684,0.30043349205586334
Mykolaivska,2010,3,268.86614838955376,0.008919885030848153,0.13078913564728215,0.051920420022420866,283.7264700345505,0.298046041187159
Odeska,2010,3,265.0243866268729,0.016162635503375704,0.17183113002660153,0.0878540662873325,285.81386612068087,0.35045653099860496
