region_name,year,month,EVI,FPAR,LST_Day,NDVI,LAI,LST_Night
Lvivska,2015,3,0.1763240887905284,0.09856294174786999,245.66206478092872,0.3416444301580798,0.016514580471429605,270.7315868829161
Mykolaivska,2015,3,0.1270458456369722,0.06686851578887311,284.791969530043,0.27901434435774514,0.011574872811364253,268.307362961454
Odeska,2015,3,0.14399470288090271,0.0749695318925342,282.9874286535554,0.2938980299373545,0.013440585024156178,271.3071608893757
Poltavska,2015,3,0.10879732255312327,0.053364599083954675,281.9084171741935,0.25824111931747545,0.008356376618239236,270.8099783444442
Rivnenska,2015,3,0.14470922999901387,0.07418846200071144,234.84999259723264,0.28382693147636584,0.011295298971474665,270.89247677583217
Sumska,2015,3,0.10659699572078328,0.04738893864611468,269.2272812537296,0.24907177754274024,0.0076194006627946665,270.42414272935287
Ternopilska,2015,3,0.12709052160650855,0.06326787175354862,267.87457253770003,0.29008224313635794,0.010363562287271642,270.323505968048
Vinnytska,2015,3,0.12106716595206594,0.058560686594264465,275.7514398627316,0.26328819502689954,0.009402936420698664,271.4014328683745
Volynska,2015,3,0.1629607204054234,0.08680832545347873,223.17400290177955,0.29842653974217187,0.013610776558900329,270.3152353853252
Zakarpatska,2015,3,0.22180834167230506,0.1370885414371513,289.9177712855476,0.36696025887417855,0.025702868498723604,272.0055989413954
Zaporizka,2015,3,0.12084669125611357,0.05864458168016207,282.9602013852143,0.26315102366482485,0.008928034673917822,266.2026375977707
Zhytomyrska,2015,3,0.11719597099057026,0.05712195648815219,250.78586523104846,0.2562709204972043,0.009168909145524335,271.01006744185435
Avtonomna_Respublika_Krym,2015,4,0.3067651793845905,0.19026821305568656,296.96979982410767,0.47755405505119036,0.05331074458885185,277.8314005729923
Cherkaska,2015,4,0.23252694680369018,0.11710213317879802,298.3933005301393,0.40812629118187854,0.02849332635269834,273.3901240755682
Chernihivska,2015,4,0.2071858045913989,0.10140937717269945,286.1207419482819,0.35742934769455426,0.020571388607289694,276.033137827475
Chernivetska,2015,4,0.25559135346702905,0.14654538203275685,280.41824552923947,0.41929372029803746,0.03707946495279011,261.84775014515196
Dnipropetrovska,2015,4,0.2305254802154248,0.11516153724804166,291.9647313824568,0.4099509324551396,0.023971152237141222,277.6101182951597
Donetska,2015,4,0.1765090093396198,0.08625875592216443,252.13342538600418,0.3511846258763016,0.01757959865737841,276.0362780555283
Ivano_Frankivska,2015,4,0.3019483310767414,0.17359395965649757,286.3788660939365,0.47068037505578975,0.04799888310804933,276.50965733390086
Kharkivska,2015,4,0.19472922427533454,0.08778247219122272,263.4558773187964,0.3901126007329293,0.018286702775201395,253.0447327335965
Khersonska,2015,4,0.2704456307314244,0.16680644157241034,293.198277097233,0.4259075358893298,0.04267527882261968,277.94220405667
Khmelnytska,2015,4,0.23068405619854224,0.12642908704755057,286.0528158711474,0.3914168621532796,0.0301803882682812,266.8312971061706
Kirovohradska,2015,4,0.18575764746596335,0.08389092544360144,299.3114145447639,0.35940980898086755,0.018273396508289203,276.50809261221
Luhanska,2015,4,0.1492044853235574,0.07184426985164075,239.18971585360768,0.3143317500456897,0.01448394277409057,268.68842542008775
Lvivska,2015,4,0.31793468673901537,0.1771027665802546,265.31454772399354,0.4802512331945444,0.0482180983779846,270.28013980490925
Mykolaivska,2015,4,0.2349472233906448,0.12720692256385213,283.0297638919836,0.41349007329600723,0.030942906838991976,277.2941021995904
Odeska,2015,4,0.26911029694675653,0.15702889994855448,295.14940235875304,0.4500239626277378,0.04079991505355542,278.35576771476474
Poltavska,2015,4,0.20209764024804844,0.09662623753477184,296.45181821540785,0.36810223214825566,0.02200914824045557,275.5878336226129
Rivnenska,2015,4,0.2507443942414252,0.1341109130335522,246.90934657778067,0.39301862314964126,0.03152680425815651,273.2314924985335
Sumska,2015,4,0.2090282652959208,0.09510436914044879,283.58226845371735,0.37289004016050287,0.020677011781680972,275.71885899284365
Ternopilska,2015,4,0.23866546396754768,0.13381399910915154,280.56584888220164,0.406548721918228,0.03232036525104929,269.84945252021794
