region_name,year,month,NDVI,LST_Night,FPAR,LAI,LST_Day,EVI
Ternopilska,2014,10,0.3215252718470547,275.8062017782948,0.10782874573377178,0.016241926255135694,266.2443004370395,0.14820803816236564
Vinnytska,2014,10,0.288820400595202,274.46415089363666,0.09452670837573471,0.013335240126404368,267.79224422362284,0.13174016915423856
Volynska,2014,10,0.35037445585954846,274.4171069590878,0.14094698848049347,0.021459125196483683,235.7720253216524,0.18984339750976142
Zakarpatska,2014,10,0.3940994621213861,278.8915371109186,0.1459495250783953,0.022338792384574434,278.3582626772396,0.20335524687683362
Zaporizka,2014,10,0.2750295047352383,240.42690530153172,0.07475275978185393,0.009323835645881821,289.6605540510382,0.12056491092540103
Zhytomyrska,2014,10,0.2925117839285266,265.0033412790614,0.11606727577067906,0.016314326296710566,278.6369561355459,0.15030508763576825
Avtonomna_Respublika_Krym,2014,9,0.2514085479293383,283.20014666002226,0.08686018459591262,0.014695697565786989,299.02521164077865,0.13533264025390934
Cherkaska,2014,9,0.30657119946503053,279.38206097225833,0.12576478899592805,0.022798869787129812,294.9792870879759,0.159687265676251
Chernihivska,2014,9,0.3216496366697353,277.33616426573894,0.13656064677615795,0.023713130904435088,293.6108559042033,0.1713226874606655
Chernivetska,2014,9,0.38055044159603085,253.58576175102408,0.16823938597562374,0.03482078151702272,290.1505921070701,0.2202026674160155
Dnipropetrovska,2014,9,0.2677064133232423,280.2128705261883,0.07549789546729611,0.010602092810788931,298.0053024964011,0.12543172564796556
Donetska,2014,9,0.28444337480981,280.1197074110176,0.08150398640675882,0.01204347295286466,297.5039876833361,0.1322970908374843
Ivano_Frankivska,2014,9,0.4608715858137588,271.791554822751,0.20224494313287958,0.04607883631087318,291.10409158538414,0.27374787240429505
Kharkivska,2014,9,0.2960089883839937,278.6284676297588,0.09488657194243554,0.015078885252529352,295.44973697275066,0.13708016917695462
Khersonska,2014,9,0.2435627756517556,281.1754774608375,0.08159999347361861,0.013463816163663841,299.29227290348217,0.13121255196164952
Khmelnytska,2014,9,0.3782641379847897,275.68728410478883,0.16931751734014208,0.03538098521849178,286.17628220638096,0.2209252002935929
Kirovohradska,2014,9,0.25794579192515593,279.95730644990147,0.0899607885599449,0.014087407995978499,297.3933726099044,0.12423948341884293
Luhanska,2014,9,0.28671650465943316,278.7848048861536,0.09150269663617296,0.014242402761901208,297.48277651294694,0.1351464545225235
Lvivska,2014,9,0.45879263055702546,280.2458163606754,0.2077107054642762,0.04595863928916658,291.1261529325225,0.285482985587254
Mykolaivska,2014,9,0.23284986363219762,281.8500321786654,0.0650644996934965,0.010334739775879943,301.33506341472236,0.10899011064519763
Odeska,2014,9,0.24161113519537647,281.9290970985061,0.07237324886362514,0.012244496287721446,302.76954511565407,0.1125276968537464
Poltavska,2014,9,0.2789289460689801,278.63338596332454,0.10321815452281273,0.01778614054303328,290.87547289657243,0.13980336556353182
Rivnenska,2014,9,0.4181979928944869,279.33148877941386,0.1913110751153637,0.04037913369373602,287.1242865392295,0.25653997736617384
Sumska,2014,9,0.30840278202037735,277.57031491976585,0.1215384703811457,0.021099695424689528,287.72437661346424,0.15320444919210754
Ternopilska,2014,9,0.3924919078117321,276.8273378365528,0.17132452635205472,0.03540399509878734,284.0661470892109,0.22405195080694199
Vinnytska,2014,9,0.3354705881507217,274.7253041068979,0.146948551059538,0.028690589232569477,294.36223133405264,0.1820438696840154
Volynska,2014,9,0.4247948326041633,279.3486115795528,0.19303423288735913,0.03928028110091604,284.617560977059,0.2657640653395668
Zakarpatska,2014,9,0.39858941999443653,281.88606007663657,0.17273571555263637,0.034979016782516775,295.72064268192554,0.2246791206519467
Zaporizka,2014,9,0.24035705426153642,281.3488820211755,0.06901359269283364,0.010485358964260857,299.00764999474075,0.12071441813295321
Zhytomyrska,2014,9,0.3940503604680591,278.1631971616196,0.17921857197945135,0.03648853578894474,284.0458639801475,0.23164004236266464
Avtonomna_Respublika_Krym,2014,3,0.4300626071454289,272.37224782293185,0.15462472244159023,0.03347753538620332,291.20973644944127,0.2545104209320096
Cherkaska,2014,3,0.34574708683684763,272.1604785838151,0.09562100036279504,0.01798611686624607,286.77386303082113,0.16930475719010546
Chernihivska,2014,3,0.3219653829422728,266.4662659567643,0.09254288292269393,0.015240961272302043,278.71384104534906,0.16359243017610928
Chernivetska,2014,3,0.3942674573741555,274.22283889464626,0.12366839636495615,0.025193655498623672,288.9077007677194,0.2187947105285136
Dnipropetrovska,2014,3,0.3397040085426032,271.2230156917288,0.07803469803299236,0.012404106930761877,291.8115841998421,0.15243224545695633
Donetska,2014,3,0.31664046870337426,271.00716414566205,0.06815799982530803,0.011166884779418516,291.46670839483426,0.13641675477654464
