region_name,year,month,LST_Day,NDVI,FPAR,EVI,LAI,LST_Night
Vinnytska,2012,5,301.0396841893356,0.5310463945897248,0.22385450450598685,0.3624804719896436,0.07648123198013379,276.7621573030292
Volynska,2012,5,275.0893855807719,0.5785565789634711,0.23601606822458454,0.4170651264392328,0.08012096725045809,280.8627645208137
Zakarpatska,2012,5,259.30159648475234,0.5513923049276273,0.2407538413049444,0.3964551635177749,0.08455712414166247,284.26228941705745
Zaporizka,2012,5,269.74847045169656,0.46853771871868277,0.15158034749231145,0.26570978212821517,0.0371485892042863,263.4346740642672
Zhytomyrska,2012,5,300.083364762346,0.5396630837840088,0.22528774232427476,0.37888301336435076,0.0730829914917109,284.07119840732713
Avtonomna_Respublika_Krym,2012,7,314.3244524498922,0.26635090506412756,0.10696381651054915,0.15977931360520853,0.024390259254471178,293.55245539405627
Cherkaska,2012,7,304.8568464335327,0.5172583565007843,0.2452829670335436,0.354498342199636,0.08907677160318289,290.866237598141
Chernihivska,2012,7,297.2395731410384,0.5510169513467608,0.2567313322693526,0.37204914127965194,0.09875293139931579,289.22803480616676
Chernivetska,2012,7,305.1529081119976,0.5007207883073002,0.23765792648714618,0.35014946820416604,0.08442169257944945,279.4360178879414
Dnipropetrovska,2012,7,313.1170321139979,0.36308723136359844,0.14160017641893008,0.20412356527720618,0.030450597605973816,293.5234985323451
Donetska,2012,7,310.77839332254655,0.39904231155613756,0.17212097354691405,0.2329432888291331,0.041839376229320935,292.6591968316046
Ivano_Frankivska,2012,7,302.7230913478736,0.5142773156061754,0.22937161960645533,0.33322935922441077,0.07344890451159414,266.398485083731
Kharkivska,2012,7,309.025724260069,0.43323175954618015,0.19245369834152368,0.25673035533411376,0.051441287755835875,291.2740208047348
Khersonska,2012,7,314.84989114123755,0.29730437427914824,0.11866528980201145,0.17895651753633776,0.02751268648863758,293.44558673798383
Khmelnytska,2012,7,299.0759176999237,0.5357408170386809,0.2483982678430653,0.37063901108775266,0.09111844492245395,285.12414402678905
Kirovohradska,2012,7,309.2931896932886,0.46800340257974365,0.20238267608220134,0.288220367527689,0.058873041484136655,292.49713574383446
Luhanska,2012,7,309.8892050273054,0.419534718562162,0.1900490676056218,0.24289693361382303,0.050928812145634904,291.46003847208624
Lvivska,2012,7,301.2175607927977,0.5202365390514281,0.23263103942847535,0.337148369307587,0.07501475184772613,248.2180919744507
Mykolaivska,2012,7,314.21346603088926,0.35771300178573995,0.14201143334214958,0.20442203097665146,0.03370903415800919,294.07888340179795
Odeska,2012,7,313.6145507106206,0.32682332098261097,0.13591704059380003,0.1892438199212583,0.0318775773848106,293.63705131190517
Poltavska,2012,7,303.57879388153697,0.4933762887474006,0.22643872643172136,0.32153089751007913,0.07253411884296072,291.8487126701762
Rivnenska,2012,7,299.20875606762536,0.5335331940538913,0.2366963373591612,0.366383316599437,0.07964445775992372,288.6438399096821
Sumska,2012,7,292.3410815573242,0.49942241538649945,0.22574988288484432,0.3223408553478721,0.07484624555541199,289.7750603365861
Ternopilska,2012,7,302.69459615908784,0.4940947100265174,0.22412847763968546,0.32893779389529576,0.07380705181134456,289.0357089950439
Vinnytska,2012,7,304.0314281066526,0.4707818154689827,0.21822710583241467,0.3186479147666671,0.0701110854557187,287.9155856883698
Volynska,2012,7,300.5778743487004,0.5064927100716736,0.2297121743418033,0.34052897184149256,0.0718042537564817,231.06950407584048
Zakarpatska,2012,7,302.9900810868511,0.48714829308586294,0.2151837767310372,0.3128302897817977,0.05962086988102143,289.3120132657305
Zaporizka,2012,7,314.09868087910564,0.32528031004260993,0.13311868046861738,0.18683215334999453,0.029286828655388772,293.1708011143723
Zhytomyrska,2012,7,298.9985216369523,0.5304661555631649,0.2403533419832015,0.3475957054836036,0.08321530784308584,286.67135430074757
Avtonomna_Respublika_Krym,2012,4,301.26744331764104,0.3990734125232547,0.15353490864490638,0.2422479627399556,0.03936643037708818,278.8359600212777
Cherkaska,2012,4,291.546107679104,0.4230522225768583,0.13202085215369258,0.24939428532976538,0.03547516714926423,280.6124566967715
Chernihivska,2012,4,278.49713942739777,0.4348213209838888,0.128050851631706,0.2568852152211246,0.03230331704638296,256.7516739486734
Chernivetska,2012,4,289.80798371634916,0.4434654422695608,0.14422878389145413,0.25324598399757703,0.0404394732699418,260.0419988497799
Dnipropetrovska,2012,4,301.5991611625165,0.3396610302571896,0.07857350788697698,0.1614932598260008,0.01489597400415345,281.3299658901693
Donetska,2012,4,294.41405643274175,0.3829627978812445,0.09693173608021352,0.1925480927687538,0.02079225001544193,278.4842613780786
Ivano_Frankivska,2012,4,267.085447789865,0.4874861699446558,0.15677018937979467,0.2965433564442035,0.04569909246574661,259.47437410605477
Kharkivska,2012,4,286.813749941871,0.3535730898594237,0.07948702176288959,0.16654590044567807,0.01619703838969411,281.82200555640776
Khersonska,2012,4,303.99162757859347,0.31837934793731804,0.09989067427919514,0.17157377430970885,0.02165960571962096,282.3425088212727
Khmelnytska,2012,4,268.24522868162603,0.4029759140364687,0.11362860227750496,0.2312117160012199,0.02803278804201892,261.98675191375
Kirovohradska,2012,4,302.19418231506415,0.35049801866352026,0.08554929830281684,0.17088706853307326,0.018709814303853444,282.50732775040194
Luhanska,2012,4,296.53584829495634,0.390420594493617,0.10674957519556999,0.19799552920334218,0.02361586337936884,272.6934957480039
Lvivska,2012,4,249.40307675094195,0.5010478673097789,0.1631603676859085,0.31841137573683476,0.04813152704685934,279.488866970362
Mykolaivska,2012,4,304.31721270058455,0.3279890042304783,0.08115231342180462,0.1558487121329251,0.01684957435510462,282.6282917723193
Odeska,2012,4,298.4995198184039,0.39403462561811997,0.1171256271950608,0.21102746524150792,0.027131245204705688,264.76458487980125
Poltavska,2012,4,302.13797059258127,0.35423738502016194,0.08967288940139848,0.18376033086363341,0.019987024804966683,278.61723242549164
Rivnenska,2012,4,261.0969242961884,0.43288818379168675,0.1342246065742906,0.26763810686482614,0.0329710949711359,279.3865745281551
Sumska,2012,4,295.993564482054,0.393317929078962,0.10985642111375,0.21881829746370768,0.02549983271180185,278.053856057536
Ternopilska,2012,4,241.30910443440968,0.43981435582355527,0.11910583208034978,0.24067290138804712,0.03128067785621828,263.01504663743003
Vinnytska,2012,4,295.8155977419743,0.425210848307478,0.13760956778614158,0.26537125528025274,0.03672520167850691,252.792972540633
Volynska,2012,4,238.5349636070895,0.44385647732915173,0.14035182303549804,0.28232895176102246,0.035312859756286584,280.56165496201913
Zakarpatska,2012,4,230.7165720862063,0.4172642823668788,0.15013108690252902,0.273658651639651,0.037901659701351245,280.04689170749583
Zaporizka,2012,4,304.7656002750148,0.3585453029433497,0.10184888791329917,0.18504443776033722,0.022326379412032533,262.5492166249791
Zhytomyrska,2012,4,290.679454989491,0.43563820393190505,0.1353456403012769,0.26679017291047336,0.032998978955227194,253.35128074246498
Avtonomna_Respublika_Krym,2012,3,288.47977782326757,0.2645989938816566,0.0600959893323317,0.1357164323228592,0.01028124628889878,271.64711875591445
Cherkaska,2012,3,282.5210484509296,0.2496972255495134,0.04273820775272862,0.10284700013611099,0.007517131548558379,271.2728720453669
Chernihivska,2012,3,278.40583755913804,0.24220927287287417,0.04713780339974525,0.10501971395838101,0.008053317988654362,269.4981465494437
Chernivetska,2012,3,280.7122174896098,0.26880180796759306,0.06123506635382477,0.12049151928694295,0.010877843672241082,272.80975081419126
Dnipropetrovska,2012,3,277.51296361332015,0.2117753752899158,0.03705979696525016,0.07679588366954236,0.006485337010973014,268.8640973115002
Donetska,2012,3,269.11873804824097,0.21342059664649823,0.034102518823748054,0.08407784558096547,0.0059752833189247265,267.91144820294636
Ivano_Frankivska,2012,3,261.00495295355245,0.29168757761253844,0.06798658244471478,0.13322833637809198,0.011591216642067515,273.099542409579
Kharkivska,2012,3,253.82811404752286,0.19617593862399646,0.034115482606576715,0.07154442463314974,0.006290572978235798,266.9209422418735
Khersonska,2012,3,285.9614559743363,0.21480252917605003,0.04010596568125475,0.09153854221522797,0.006975023347953159,271.8547337789871
Khmelnytska,2012,3,278.8812262197883,0.24597721698844696,0.03917863645828084,0.10351285981634752,0.006454301350951289,272.20452104572513
Kirovohradska,2012,3,281.4575193252037,0.20143635961336345,0.03556810505051158,0.06813127335840133,0.006536661117161021,270.71524577400675
Luhanska,2012,3,274.6177917666608,0.20075584058415186,0.027860665204713246,0.08158827491005523,0.005025996300189535,261.9989109381298
Lvivska,2012,3,251.87487194540867,0.2989673580026828,0.07326949135152981,0.14438579297289927,0.011989591858780865,272.76703989070353
Mykolaivska,2012,3,285.818734080119,0.22020810454545414,0.03835572831809976,0.07603478047203913,0.006821304926795474,271.70958794242813
Odeska,2012,3,290.47201677091397,0.2381754136447934,0.04147923255917863,0.09492996671104295,0.007139135668016044,272.84524854369977
Poltavska,2012,3,273.6886064467213,0.20495993604141505,0.035616472435984106,0.07568730952271026,0.006664585043743586,269.3136022367038
Rivnenska,2012,3,258.8386979927842,0.2648260110520942,0.05817442393912536,0.1257058759021789,0.00875407650465461,273.1010424894751
Sumska,2012,3,271.506115232643,0.21364071698172937,0.036719354812256154,0.08213906697946649,0.0065925888106183415,268.4163604314426
Ternopilska,2012,3,255.24802498872137,0.2664261254760112,0.04408401306569504,0.10579224699763719,0.007243898463852888,272.490407348699
Vinnytska,2012,3,284.8334137769464,0.25288721592367036,0.044010467871615076,0.11213031466652433,0.007407462180662067,272.1096079786904
Volynska,2012,3,260.04888529696194,0.26969583719868484,0.06909273299352736,0.13531831459660615,0.010584437667115799,268.7844597789866
Zakarpatska,2012,3,289.96394229542364,0.23085596123902108,0.06216338858634044,0.12396585726896471,0.010357206782523953,274.9450268439554
Zaporizka,2012,3,283.62491977582204,0.22009735542555528,0.03724807962450055,0.08904437951350175,0.006111006352198985,264.8202610803975
Zhytomyrska,2012,3,277.9355771869835,0.26610420267298884,0.0513636891318461,0.12146457637361031,0.008192166696031334,271.4056703995724
Avtonomna_Respublika_Krym,2012,10,296.21258196350044,0.217652298188973,0.05621728960139305,0.09847392473828376,0.007444661722942787,276.13848768952386
Cherkaska,2012,10,222.85988320164782,0.3947435949256708,0.09923049313194614,0.18494371544069535,0.01730703741651943,264.3285736387106
Chernihivska,2012,10,239.44170183767378,0.38870104733653843,0.10615986294395939,0.19346248987234588,0.019221193078482034,262.8483635296943
Chernivetska,2012,10,215.3141556350206,0.38545486759130754,0.11465381414497472,0.18399603364265577,0.0195004062962406,256.9897239365871
Dnipropetrovska,2012,10,286.800937566922,0.4786676904687728,0.1526566735173201,0.24423499213465472,0.025334716229667726,277.31356793910476
Donetska,2012,10,288.04209980685033,0.36625748571400724,0.10350140080224829,0.16234236676901528,0.014967978754025123,277.17220160437074
Ivano_Frankivska,2012,10,212.7581145169969,0.4490912832874923,0.13792995251503087,0.2384003275912187,0.025377532106490634,263.6216324313801
Kharkivska,2012,10,261.4963009292974,0.4426677598823144,0.12666687960954914,0.204140178333249,0.021954399131364023,272.4612303690623
Khersonska,2012,10,290.0549870274177,0.3265631267414675,0.09103263810137809,0.15123488994103124,0.01413348294850406,276.8566424962216
Khmelnytska,2012,10,228.05610611165793,0.3931846253685173,0.11373109064740752,0.18343541813283137,0.018841164244911605,241.50186188301217
Kirovohradska,2012,10,254.6845255298432,0.40229410730062476,0.10678793700506518,0.1878623577507898,0.017652866157703614,271.5728183653664
Luhanska,2012,10,285.80147923322795,0.2896573678915518,0.06221147362065226,0.10800020578181406,0.008813238990202968,271.30845621180146
Lvivska,2012,10,217.62751487785596,0.4400623026280764,0.13948708032751325,0.2378605091451918,0.025800275886888675,268.5517972205266
Mykolaivska,2012,10,290.65140947108705,0.3742045822712377,0.08646910330093265,0.15704553963293316,0.013068342452072532,263.35982037980824
Odeska,2012,10,290.744004565674,0.352112758796319,0.07987190600178619,0.14977839353361339,0.012060134474020875,268.97677509630404
