region_name,year,month,LST_Night,LST_Day,EVI,NDVI,LAI,FPAR
Zakarpatska,2022,4,276.66827009392017,274.11862750630576,0.31870757230219415,0.44936178432971013,0.0397631176053264,0.16480889113941513
Zaporizka,2022,4,277.62486559460024,271.8288601585874,0.343263798193627,0.5362121097966669,0.04171898112466676,0.1616012306564583
Zhytomyrska,2022,4,271.92001765903296,289.1194463110134,0.3455265490220794,0.5267317345125657,0.04310155288458554,0.17242714255395036
Avtonomna_Respublika_Krym,2022,5,283.95786849976986,300.98657348393016,0.3871933805589166,0.5617985426546899,0.10163239128558238,0.26938577854387086
Cherkaska,2022,5,283.10618510132105,300.4082136237327,0.49230349769004705,0.6645734520567899,0.11305081619326265,0.2741337559271379
Chernihivska,2022,5,281.7596414872061,295.3304372489399,0.5231014749587604,0.6812967298848711,0.11759990634993978,0.2753526637825055
Chernivetska,2022,5,282.5473268765196,301.2438616267929,0.40261534166289614,0.5934015975041972,0.09132799977525598,0.2608539244949107
Dnipropetrovska,2022,5,282.31655148884846,301.28040621886873,0.416323407962751,0.6082848994468294,0.07576300698025334,0.2504370103433258
Donetska,2022,5,281.02685772731144,300.4080149061189,0.39566706426305126,0.6039289110699892,0.07667138721766975,0.24740116329542003
Ivano_Frankivska,2022,5,282.3147544270988,299.33920480440526,0.47180711183126944,0.646668363983182,0.11959721618676512,0.28593100601499943
Kharkivska,2022,5,279.67649020051846,299.1489734792161,0.4245462199727885,0.6478984221548887,0.08131753829912002,0.24820577862909413
Khersonska,2022,5,283.9835191909464,300.9067741613931,0.38931536973955977,0.5588686061643644,0.09405972105838815,0.262998636404736
Khmelnytska,2022,5,272.8443145494997,296.59467466520925,0.47165214453111604,0.6577434255274159,0.11088603733267194,0.2750776031482373
Kirovohradska,2022,5,282.83844166688635,300.4603604358163,0.44683666158220714,0.6513117433505333,0.09503307763504112,0.26240734394324977
Luhanska,2022,5,280.5300561383545,299.4057611144506,0.3862572230054527,0.6091467097704516,0.08076837584184095,0.2463487611267188
Lvivska,2022,5,282.4715045701965,294.5111037762864,0.5089895849640829,0.6588100125253213,0.12040890267574257,0.2822387080647302
Mykolaivska,2022,5,284.0748574160778,302.5469925232455,0.36526680170556286,0.5645147979375115,0.08435898527987237,0.252163634352401
Odeska,2022,5,285.02676868304235,304.74629429759386,0.33918490879297647,0.5112568860214431,0.08026186586130014,0.24293292638916777
Poltavska,2022,5,282.03960347524287,298.9163234865832,0.4672299570591727,0.6638573152829679,0.10074289894231499,0.26187180853688324
Rivnenska,2022,5,282.9900522835795,294.23657796576873,0.5067620355384295,0.6440936969457709,0.10568818377893344,0.26865944350803295
Sumska,2022,5,281.39609858506907,295.6303047790834,0.5151529062196946,0.6966158253320891,0.11095798767534837,0.2719540327480037
Ternopilska,2022,5,281.08180169547825,296.787607546581,0.480509244556277,0.6572071994225952,0.1078570488924487,0.27210918946464085
Vinnytska,2022,5,283.06004420143773,299.8431971210989,0.44077750565075735,0.6285194221737537,0.10309736531585821,0.2693561093831422
Volynska,2022,5,282.1031137074366,295.9913831170148,0.4920050258146598,0.6425039918076566,0.10729047010989474,0.2709018035203128
Zakarpatska,2022,5,284.7922570427462,302.9100042491818,0.401246269981156,0.5303412607759651,0.08858908145218962,0.2550637935424842
Zaporizka,2022,5,283.4773701542151,301.5288848389607,0.41777367912402125,0.5923710641012929,0.08891902462647988,0.2633609177130396
Zhytomyrska,2022,5,282.392449309719,290.38610232830604,0.468911794268063,0.6484695032033008,0.1077635195469241,0.2720892428958792
Avtonomna_Respublika_Krym,2022,8,291.42101589579187,309.23524246804124,0.14950121162972435,0.26075958685344963,0.018360570218048846,0.09815771056602465
Cherkaska,2022,8,287.58957885374843,301.6390529635601,0.20030857016974857,0.36896679075750033,0.0355811675856806,0.16410180414834066
Chernihivska,2022,8,277.4814746482708,297.6842488847354,0.22200150498060736,0.37655655156043494,0.036970546777917467,0.16796920692185102
Chernivetska,2022,8,287.1110173667027,296.08272180672094,0.2459984618799939,0.419178422118139,0.035607909830107295,0.16602983641285848
Dnipropetrovska,2022,8,274.1289213594145,304.8019002019535,0.18844021257573734,0.3413178029435469,0.024111248843836346,0.1362834464385078
Donetska,2022,8,288.59454681567183,307.6714136693065,0.17250059344734328,0.3208930392440325,0.02222053117702658,0.12401912062036127
Ivano_Frankivska,2022,8,281.56002105196563,290.2472348939763,0.24663669652672274,0.4205010806874323,0.035277449878413226,0.16038860079456968
Kharkivska,2022,8,278.2048127401657,302.5855316922745,0.19012052695788828,0.35398829310152813,0.027441251253340168,0.14519792267082102
Khersonska,2022,8,289.90841230051547,306.551262914036,0.1654122630898847,0.28866331643147286,0.020192549185541045,0.10718460925494325
Khmelnytska,2022,8,287.12986402946603,298.7000385942509,0.19774576994608326,0.361190410300138,0.03411594244452489,0.1579085487148492
Kirovohradska,2022,8,282.0318801218343,296.8225383945266,0.17519466611937393,0.33640240807226085,0.02713158381349785,0.1396352894725072
Luhanska,2022,8,278.2056956994158,305.34503579508583,0.17403685879401326,0.3228557749737079,0.022906136124025006,0.12408181844908464
Lvivska,2022,8,286.1812519883711,299.7117001600993,0.23336236424738185,0.3879552493259718,0.03917474603682791,0.1755365295702167
Mykolaivska,2022,8,286.5866558474243,306.8371846985184,0.15054109575408703,0.2911975189943175,0.01876376370873828,0.10416129874832049
Odeska,2022,8,288.49633960698634,310.9626698296496,0.13357965656398524,0.2527756637385014,0.015941647067989326,0.0881395584286803
Poltavska,2022,8,283.69026219150345,302.45226329627764,0.19474195573973188,0.3575636759242674,0.03582778416152243,0.16653023602306588
Rivnenska,2022,8,287.300197341469,299.13212221436874,0.2419564357452269,0.3861563789354639,0.03896261095943171,0.17617760706925617
Sumska,2022,8,261.6256064070129,297.56579902398533,0.21175385926130122,0.37937629247739135,0.038625486152080876,0.17212739248904677
Ternopilska,2022,8,287.1897906062618,293.1148268110269,0.2069409262531013,0.3760783931178491,0.034400913647470006,0.15834689239936084
Vinnytska,2022,8,287.83063700302836,298.56044032103915,0.18097107621975636,0.34460655769527887,0.03160933756133151,0.14985697174965093
Volynska,2022,8,286.6912094202865,300.7997636705425,0.22425967424325238,0.3631860014646783,0.038225970517447756,0.1762227363221309
Zakarpatska,2022,8,288.8787251290137,307.0787686151633,0.1861002175176534,0.31967590297282483,0.028438750787916477,0.14380114708256767
Zaporizka,2022,8,287.74043894156085,308.52322808295935,0.15901928567568518,0.28872459056487043,0.019662993909349023,0.11071522616185436
Zhytomyrska,2022,8,286.3226417648635,299.30189330540134,0.19644653264589973,0.34900637798121287,0.03410902087634183,0.15935599030874956
Avtonomna_Respublika_Krym,2022,3,266.3411747523115,284.9968305630095,0.20886795509931497,0.3694229319887827,0.022544381116474676,0.11471207749531656
Cherkaska,2022,3,264.99997904415085,281.52910708853966,0.16845286268464102,0.36038863500209484,0.013992863617671842,0.08515772312010773
Chernihivska,2022,3,264.0138944525102,273.0698712744801,0.17218007775426114,0.3550527487386882,0.015133773589289029,0.09521604987300476
Chernivetska,2022,3,264.38292812696614,283.0001137116689,0.15017465229731286,0.30321774603724194,0.012813024869618845,0.08005432040849522
Dnipropetrovska,2022,3,264.20590664305075,284.57244800507783,0.14166915510741515,0.30440514192625934,0.009948594353336162,0.06743673242142482
Donetska,2022,3,267.9107354233456,275.18233906577615,0.11829205418951308,0.2580013519747363,0.00837410318039423,0.05508544771693143
Ivano_Frankivska,2022,3,268.7566362560081,242.61583117911087,0.18301345399989338,0.3468293252550665,0.017357238639621117,0.10136278454872086
Kharkivska,2022,3,237.37298151968525,272.9316841476979,0.11379923145869862,0.26196689677827006,0.006283646466255249,0.0404359352379086
Khersonska,2022,3,269.33861548992684,287.7617347411546,0.19554920614063398,0.35920651326015546,0.020336957993082577,0.112632434608949
Khmelnytska,2022,3,267.5824749174499,223.72787978628796,0.1652245526154025,0.3315959391492628,0.01265128212994479,0.07873117798720679
Kirovohradska,2022,3,264.67565765289896,287.06637755080123,0.16326659963215492,0.35046280821292386,0.013109573324824085,0.08135349312730478
Luhanska,2022,3,239.66389386967654,246.54737354620926,0.11954274873176524,0.26865119652918723,0.007755006666346882,0.04775389289073589
Lvivska,2022,3,265.67391429893,235.0621232332218,0.18056909877839297,0.3345007571680945,0.01558422740510964,0.09821840380887092
Mykolaivska,2022,3,263.4331882286714,290.1265106339568,0.17962548921602928,0.36567792831409446,0.017902714995407222,0.1052390072578858
Odeska,2022,3,262.68125204789544,289.9825686298005,0.1670484782252642,0.3370577434695916,0.01729508736424137,0.09650413310358769
Poltavska,2022,3,262.18405179226494,279.8697311553187,0.15039865252443235,0.3450150536747524,0.011564548595463095,0.07281371896815196
Rivnenska,2022,3,265.86863418715376,232.76981233608686,0.1673076672276316,0.30165819379578696,0.01322443334030219,0.0870522543921255
Sumska,2022,3,255.04817131666425,274.46411542768857,0.12568630011348111,0.2978011745833877,0.007989672239595857,0.05228375232157703
Ternopilska,2022,3,269.5889840825192,229.88896993250415,0.1681764789262271,0.3477642960255699,0.013979761935000659,0.08315470866851941
Vinnytska,2022,3,258.5324579266693,272.2868233596432,0.1391145751159905,0.29191005426888433,0.010566370840229445,0.0673256749991121
Volynska,2022,3,270.6122226947834,247.1964679698678,0.19069629227612733,0.3323743815057571,0.0167220721683879,0.1097035006269933
Zakarpatska,2022,3,260.710499373923,256.8085324043445,0.1442110211471162,0.2469054438547892,0.011897927744963833,0.07342101410596429
