region_name,year,month,LAI,LST_Night,LST_Day,EVI,NDVI,FPAR
Dnipropetrovska,2020,4,0.044858407498528666,275.248256504337,299.5150874315604,0.2985308700687938,0.5103744692406451,0.18378817473487497
Donetska,2020,4,0.030757420712041718,275.4867140533833,300.39044172269627,0.22951220632032437,0.42743932293088627,0.1370739756350535
Ivano_Frankivska,2020,4,0.06274835915540891,268.86192939725913,296.88131641395705,0.3403507835587568,0.5067403159764111,0.20757185986083965
Kharkivska,2020,4,0.031099095955393837,272.9620283424976,297.23961962666743,0.24171581098598766,0.4546185645211065,0.13723883471584344
Khersonska,2020,4,0.06078005174326699,276.50007411169406,298.63621123941357,0.2991522617661058,0.46699837719098947,0.2100622339062609
Khmelnytska,2020,4,0.03026633248655374,275.16663860134116,286.8289152765744,0.2384793324768394,0.3911483877515224,0.13452813280456577
Kirovohradska,2020,4,0.032733318224805304,273.21257360673263,300.32184597936333,0.22359850884676505,0.4158692239355672,0.13511544695654903
Luhanska,2020,4,0.02873352342519256,275.902091532136,298.15929620718083,0.2180581654977695,0.4220699890946732,0.12906733160714656
Lvivska,2020,4,0.05815389259615376,262.9479883187957,291.0371530773216,0.3352063640267845,0.4830523325425613,0.20069853784943853
Mykolaivska,2020,4,0.05673377836731417,273.11386239936513,300.28881530548716,0.30666298606766923,0.5012486554774176,0.20137671437257484
Odeska,2020,4,0.04079780630965438,271.89089692172035,301.719842172882,0.235184178099695,0.41323174230711535,0.16678426966338955
Poltavska,2020,4,0.021124187720323463,272.24472365983877,298.9085189039014,0.16451934613993602,0.33378524670821696,0.0962355590025541
Rivnenska,2020,4,0.04257851565844101,275.6223670996531,296.51059691844944,0.29279988705032495,0.4323741065603388,0.17133765410151455
Sumska,2020,4,0.025294921347384997,273.6445727488293,289.45753019158224,0.1922397866848424,0.37097180442548616,0.10968782155332678
Ternopilska,2020,4,0.03851402323301643,275.60190880184024,298.26103346580203,0.27614478265677117,0.45413475087498745,0.15993706726604517
Vinnytska,2020,4,0.034037866867833104,273.82095987520506,291.6923071452286,0.22959706344872913,0.3817605582799854,0.13649359317050427
Volynska,2020,4,0.05416283453309704,272.86167989231586,293.17649238626774,0.3316591194755542,0.47455090142663253,0.20297690434689047
