region_name,year,month,NDVI,LST_Night,LST_Day,FPAR,LAI,EVI
Ternopilska,2016,9,0.33179477871336277,281.05688285973304,295.14606811668176,0.12099818068754663,0.021024120761729107,0.16773844604758584
Vinnytska,2016,9,0.3045204547551439,275.02644744721624,281.11620457277337,0.12235290302932901,0.021627084661632576,0.1620539267960783
Volynska,2016,9,0.3569284835204787,280.76153768183997,245.78065182771093,0.1410594446663348,0.02500715261331614,0.2007484377290089
Zakarpatska,2016,9,0.37268179401774754,283.7467125659333,299.70562905835885,0.16233247192943326,0.030995634964614185,0.19971307932951296
Zaporizka,2016,9,0.2814269228464881,282.45149935837327,281.17511671354356,0.0778983865604503,0.011887002175009306,0.13364515947194017
Zhytomyrska,2016,9,0.31742523602084477,279.85460448750985,264.5724690515329,0.12518814349293644,0.02187224369486805,0.16620905189844248
Avtonomna_Respublika_Krym,2016,7,0.2967312967696832,292.1266577055461,310.6518666662374,0.13330785140507828,0.03096760273487976,0.17567747634695466
Cherkaska,2016,7,0.5404855415532535,290.2818912711962,303.0975393324699,0.2613922712367059,0.10709366689639516,0.3949799501886888
Chernihivska,2016,7,0.5636972089608955,290.196183138783,301.57877508665877,0.26621200575476445,0.11080543593726336,0.4097917605018786
Chernivetska,2016,7,0.4868727661746517,289.68847342432014,306.46812103907496,0.22306621883530367,0.07616195668191206,0.335397407123186
Dnipropetrovska,2016,7,0.44580260699652874,291.2997666896929,304.2044716348902,0.20127970830217715,0.051304034117218095,0.28730906697461656
Donetska,2016,7,0.3898346929107148,291.3775606860203,306.84860920085885,0.17043262662724287,0.04077661153084973,0.23145198964046382
Ivano_Frankivska,2016,7,0.4989578338153377,288.4805862255324,303.95929924221474,0.22553441002615432,0.07648318947275745,0.3443144593126933
Kharkivska,2016,7,0.48186440024026367,290.8055014794203,302.61449649171607,0.2199966681606779,0.06609189171701005,0.32017063165812554
Khersonska,2016,7,0.3486907547818976,291.7209541241961,309.5151047012225,0.16312456841545467,0.04173473872142382,0.2201258371977893
Khmelnytska,2016,7,0.5183751942088068,288.9301763017553,299.79188115275286,0.24002798589291133,0.09034055352295356,0.3741899400783382
Kirovohradska,2016,7,0.5251221504514832,290.69196743914114,304.60422955229825,0.24437802525727137,0.08409909774751646,0.36369993417516444
Luhanska,2016,7,0.4648284224882065,291.23241733175075,302.7293493925888,0.20574715982272848,0.058887229253467906,0.2893403166945236
Lvivska,2016,7,0.48042082054924756,287.72744618230394,299.5548000249519,0.21810494598197538,0.06963316979794434,0.33356082378022783
Mykolaivska,2016,7,0.39580083055957227,291.6553753005698,309.6955159837556,0.1828485672505445,0.04894362348506412,0.2471974778934702
Odeska,2016,7,0.3401815305578163,291.3042765111728,310.8816842948473,0.15722464795285576,0.04004429622489618,0.21004738584306631
Poltavska,2016,7,0.5693288213226761,290.64881083975973,303.21683130523047,0.27577149926494376,0.11316988925295701,0.40795457034178534
Rivnenska,2016,7,0.4895405931812496,288.7679098292972,298.8648630939728,0.23033167343455163,0.07980434323335069,0.35189028104135783
Sumska,2016,7,0.5781260678275766,290.40902614046917,301.1759056079249,0.2788162729837446,0.11965773004033355,0.4199669875577008
Ternopilska,2016,7,0.46755928397061514,289.00898499694813,303.2922579839069,0.2173740150349374,0.07221963992637594,0.32373971243992244
Vinnytska,2016,7,0.5013105673374173,289.3415136076083,300.8658642818687,0.23715947980354415,0.08775165061369973,0.36296560034327774
Volynska,2016,7,0.4607055119240224,288.15721744129775,293.49098013872407,0.2042355190313675,0.06163026946086365,0.3267158490897263
Zakarpatska,2016,7,0.5366884811030102,289.3286410791649,304.16731127045165,0.2374780432198673,0.0771563001863166,0.3622986136184737
Zaporizka,2016,7,0.34533283419288485,291.61682163091757,309.0205530037644,0.16139518962016267,0.037810573274278635,0.21126829330181066
Zhytomyrska,2016,7,0.5296885375266596,289.04850416344283,300.4153399170148,0.2500742542431186,0.09514189252551347,0.3800152702133775
Avtonomna_Respublika_Krym,2016,3,0.3766283849657467,237.71473306994136,260.2558673129553,0.11552780861508953,0.02266483983262015,0.2230016661225233
Cherkaska,2016,3,0.3099956548803476,251.43783854422296,262.5307376062979,0.0530281849715233,0.009047931432964685,0.1379429463435797
Chernihivska,2016,3,0.29459226542426414,246.8522588001765,246.792525923861,0.059881618377443574,0.009949950222428222,0.13705929225583188
Chernivetska,2016,3,0.40688548607068775,255.51569033055935,276.3121038421197,0.11331073089353134,0.02190618222243067,0.21853950735862185
Dnipropetrovska,2016,3,0.2915897267337792,207.0722720698836,268.87362962252627,0.04502116151163358,0.007429826587402927,0.11732030798952682
Donetska,2016,3,0.28119218053268447,233.2029250916428,252.61418505221658,0.05317477680474467,0.009028943729215531,0.12838702772875746
Ivano_Frankivska,2016,3,0.4240420048673334,249.320167710169,267.7548636799093,0.11904617581243358,0.024936430837005683,0.24592772293857623
Kharkivska,2016,3,0.265177386440927,226.55339357549602,260.9760252567124,0.04626420325066533,0.008159519638049026,0.10173897448281947
Khersonska,2016,3,0.32810684023846637,211.31608176459153,278.6310121754195,0.08432769942639386,0.014599915698414612,0.17717533348084216
