region_name,year,month,LST_Night,NDVI,EVI,LAI,FPAR,LST_Day
Zaporizka,2019,10,274.96509516125764,0.3505438552558041,0.15697420580142166,0.011061417871550294,0.08149697055877464,290.8315989648848
Zhytomyrska,2019,10,275.39773680301414,0.30493530691088355,0.15794400541573989,0.014519103840534717,0.10459873784454074,272.08134377774815
Avtonomna_Respublika_Krym,2019,7,289.5081366477231,0.2604293798444598,0.15188902444997024,0.02153163803106685,0.10009962475449131,311.3647469925112
Cherkaska,2019,7,286.346756184965,0.5457829615413115,0.39985127155812533,0.09543049088063887,0.24484772291856197,300.18793778872805
Chernihivska,2019,7,285.6611046755948,0.5694402480800461,0.4157686952370037,0.10180039353708337,0.24870572376787373,292.1929246144377
Chernivetska,2019,7,287.1790365468705,0.5284514671093058,0.3957367925970874,0.07887558711511908,0.22899090637311567,300.85906733170344
Dnipropetrovska,2019,7,287.6364818095691,0.47522766786576226,0.3157137696732513,0.04907891011770261,0.19618756192333764,304.40739980622607
Donetska,2019,7,287.99918694343773,0.412220181904842,0.24767846986707703,0.03776445702042136,0.1589298400716979,306.62151786377456
Ivano_Frankivska,2019,7,285.98756992055246,0.5327179249793836,0.39475635570109663,0.08126277059285276,0.23335834226611718,298.535058563157
Kharkivska,2019,7,287.1193418360635,0.4451955276609628,0.2884623921595972,0.04795799295431365,0.182571997157901,304.3475436984256
Khersonska,2019,7,289.24035214465084,0.3178451700729439,0.19845560454418743,0.031525332880167,0.13185905251873947,310.1972947399745
Khmelnytska,2019,7,285.1457339197909,0.5423200942652558,0.4193671770381249,0.08573936188935287,0.22960627877931447,291.0894590209788
Kirovohradska,2019,7,286.97582935088104,0.526576575311001,0.3667807470416241,0.0724426971058348,0.22666469440494633,302.0471455532808
Luhanska,2019,7,287.77071869186034,0.47157721467818636,0.28978164428363207,0.05198009536698792,0.18955417570331393,303.356756857337
Lvivska,2019,7,280.2261816684164,0.5203486893520697,0.388902313945351,0.07228374336916646,0.21413818017363329,289.3566643914443
Mykolaivska,2019,7,288.5151551102744,0.3983478835029095,0.24896226997829737,0.040656218517295596,0.16084869279850011,308.9258294965049
Odeska,2019,7,289.6776523387888,0.31130219399842957,0.18454622079542196,0.028039017201061035,0.11974968872511171,310.9915362275612
Poltavska,2019,7,286.61728621290683,0.5309043421788241,0.3772237107269196,0.0910041709832424,0.24578167751480973,300.58598666012364
Rivnenska,2019,7,285.0935154846252,0.5281600679500522,0.39719276445251334,0.0715071974886406,0.2139833498300246,282.55781142192745
Sumska,2019,7,285.8212076301158,0.5606633140940762,0.41650910737290087,0.0949941246534958,0.2421885333378341,295.3041415286679
Ternopilska,2019,7,285.02933235964053,0.509135803205232,0.3877931386177231,0.07341635714384312,0.21354034757207185,291.19203685028185
Vinnytska,2019,7,286.3470476563884,0.5459667473592248,0.40895995761305687,0.0852686290467727,0.23159740777334678,295.59562058229665
Volynska,2019,7,281.1893571077319,0.5018548303746743,0.3823664130862191,0.06448376029003267,0.2046368745041365,280.4708260406137
Zakarpatska,2019,7,286.74212514693477,0.50888425442205,0.3579446650316501,0.07547482090970895,0.23423449917915917,301.7851920620584
Zaporizka,2019,7,288.5291013684059,0.3658335633626675,0.2251572363490867,0.03419530861197807,0.1474539804838568,308.92619387200625
Zhytomyrska,2019,7,283.67730180032976,0.5666820507815279,0.4291061558169129,0.09334936563834953,0.24134216019268673,293.07095045814975
Avtonomna_Respublika_Krym,2019,9,283.08945910878793,0.20764743045006254,0.1045222601258088,0.010892576921737564,0.06536524094479228,304.2506354882522
Cherkaska,2019,9,279.7349403012971,0.26938743402266524,0.1476441670744181,0.01716100203236548,0.10342269309601587,288.061682224134
Chernihivska,2019,9,278.2867048257667,0.3012565629840744,0.15943296340496835,0.020558874835046842,0.11718277647528572,278.239335818924
Chernivetska,2019,9,280.90687361898597,0.32155050220694364,0.1813114463877875,0.025958040273819656,0.13741191844380432,298.4920411504934
Dnipropetrovska,2019,9,280.66135607585335,0.28596387106802323,0.12896656018797004,0.011326943902952656,0.0786055288635398,300.8173928752266
Donetska,2019,9,281.0386546180673,0.28594236374954496,0.13243490185994014,0.0121782932731356,0.07904513907696147,300.7773533152325
Ivano_Frankivska,2019,9,281.0121827243504,0.35125107965311325,0.20143916917927093,0.027547757240480742,0.14353310802291133,297.85652132648084
Kharkivska,2019,9,279.9404719601561,0.2577783960508376,0.10960160896119596,0.010597418059681386,0.07010467290609111,298.44521641662135
Khersonska,2019,9,281.9922970237027,0.2586558589099142,0.12348234222325667,0.013118248149977228,0.07793343456881742,302.01398204351966
Khmelnytska,2019,9,279.72991801311775,0.32061137323663,0.1807714718606567,0.025122842142926954,0.13560424747194472,293.74858007900957
Kirovohradska,2019,9,280.6062865636411,0.25478828945179094,0.11739046331041524,0.012312111437477803,0.07777478349672227,297.86219656259954
Luhanska,2019,9,280.2776706581602,0.32126517504069624,0.14568460423154037,0.01578206030759689,0.09540799767187733,298.3016312435777
Lvivska,2019,9,278.73510880668243,0.4050589553367553,0.23645332149566445,0.036581941022561515,0.17652893208543133,291.374301658315
Mykolaivska,2019,9,282.1322384790481,0.24715992156090844,0.10815000577722053,0.010826522743768297,0.0680339085693163,303.17993099331665
