region_name,year,month,LST_Night,EVI,LAI,LST_Day,NDVI,FPAR
Luhanska,2017,10,231.18889089673056,0.09609303765432012,0.00588067338875825,170.02238463828132,0.2398727346441156,0.0414743168032954
Lvivska,2017,10,233.84942140841324,0.22948702588096517,0.023501584279313804,220.9088674143571,0.41530223603330685,0.13312133005094484
Mykolaivska,2017,10,259.67483177404023,0.12607212361619854,0.007142579018553356,250.84002524964617,0.3046601033429015,0.0526630492152105
Odeska,2017,10,269.01953867048445,0.14627863142144057,0.011026030088952516,281.0993081323474,0.32929292975713265,0.0790569906764339
Poltavska,2017,10,194.83336783225738,0.09719517873884484,0.007992108882308061,207.62297482015632,0.26146320522452193,0.05350639099211846
Rivnenska,2017,10,222.6583803018839,0.2064924301160748,0.018432902706209692,212.30780503967728,0.37811546716041455,0.10433974111753734
Sumska,2017,10,228.12012534126498,0.12046895862388253,0.008304180371928887,173.40087941938705,0.25904152651664114,0.059257809210999025
Ternopilska,2017,10,255.46240862432143,0.17919624627773176,0.015804094470443127,220.69821138677727,0.38248837472799685,0.09314628138261151
Vinnytska,2017,10,258.65153315437146,0.15307236500043098,0.013980826120946536,249.49713436638723,0.335233137838693,0.09376641599967223
Volynska,2017,10,242.4319179139141,0.20663706356271316,0.017272282548223765,196.83406889062618,0.3734358007335775,0.1084463157522357
Zakarpatska,2017,10,276.90439399939527,0.1826757103026168,0.018840188252444934,286.21013831294687,0.36119244347519486,0.13139426451833183
Zaporizka,2017,10,227.56041356773733,0.13536129838193897,0.007669940309786293,235.52631801662633,0.29924172831014084,0.05390797677524835
Zhytomyrska,2017,10,253.7004043575952,0.17577140348984607,0.013453887794707768,244.9811725280596,0.35270088750137696,0.09319860578647757
Avtonomna_Respublika_Krym,2017,9,284.7179146364694,0.10518734828523085,0.011336217754720278,303.40170144730143,0.20813537291141537,0.06689438910886704
Cherkaska,2017,9,279.924978077901,0.15220731417815211,0.021190645400759635,295.3639065945671,0.30730063544396924,0.12059184532789413
Chernihivska,2017,9,280.436468449892,0.20263955990877952,0.03385485301558586,251.8109714956004,0.37273442527685596,0.16391583904007676
Chernivetska,2017,9,281.34707112128234,0.18424850586933872,0.026589431995720603,294.2131490368497,0.36072670377456495,0.1411590324928659
Dnipropetrovska,2017,9,282.2504973817327,0.12319602452914928,0.0108874229184408,301.396104221909,0.2752804944250338,0.07651439188612527
Donetska,2017,9,282.6353594687007,0.119234250661375,0.011206428819744494,301.65854355456787,0.26108195072112383,0.07518539130485631
Ivano_Frankivska,2017,9,280.5296059519141,0.23612099732346548,0.03795213534279188,291.87672280401074,0.44205869222042005,0.18026355589200962
Kharkivska,2017,9,279.74229267026465,0.1255627030063349,0.013048243992503906,288.6689151444434,0.2775198692798239,0.08320228403851201
Khersonska,2017,9,283.6088924182903,0.12304712326765369,0.01295954207665168,300.7159528533091,0.2418477481327953,0.07660442143368874
Khmelnytska,2017,9,279.86482128739533,0.2078863133888871,0.0285260050089863,292.5602160324627,0.3775654548703517,0.1487941193448068
Kirovohradska,2017,9,281.9087578960474,0.1202480840813267,0.013802408439056014,299.5474635517251,0.2797421126775659,0.08580386749739505
Luhanska,2017,9,282.28041232571775,0.12546861760561398,0.0129719014948628,299.86547966487507,0.27849005858729237,0.08218642306259177
Lvivska,2017,9,279.09740265155864,0.2471850278738469,0.03772830613036535,291.2905977622897,0.4410640972300746,0.18408541142129745
Mykolaivska,2017,9,283.0558007925234,0.1047350182027514,0.010638126991819158,301.76793194185166,0.24792482598917343,0.06531208777347407
Odeska,2017,9,284.0931051457057,0.1174103813804384,0.013204724546645296,301.6958454934862,0.262633982174829,0.07556500757375327
Poltavska,2017,9,280.32552604179665,0.14591935056277205,0.01903638298616573,295.23841019913823,0.2959864313837319,0.1121806792139831
Rivnenska,2017,9,279.9031026404158,0.23983543976524568,0.03737643296039273,289.7857610730598,0.4237329287758125,0.18419064839998156
Sumska,2017,9,269.7909644687282,0.17754019494100895,0.02970605225690397,277.61911490781324,0.3460846929178141,0.1527609740050333
Ternopilska,2017,9,280.05722091683486,0.21715858219479625,0.033541575544365695,291.7443246986239,0.40920702558047173,0.16500477991182141
Vinnytska,2017,9,280.3367783023542,0.19471882103214386,0.026972050822680584,291.81483640977024,0.35743935059605236,0.13982368538010218
Volynska,2017,9,279.70368954519245,0.2330769059001307,0.03346691907083522,291.06211867878443,0.40922775466569034,0.17374299536377674
