region_name,year,month,NDVI,EVI,FPAR,LST_Night,LAI,LST_Day
Ivano_Frankivska,2011,5,0.6057971151119468,0.435180892705647,0.26922252601786756,283.8584383820347,0.10980854718315339,299.11036242310394
Kharkivska,2011,5,0.5157963298629894,0.29367970619234046,0.1933228873275432,285.2135034103255,0.05715785000064634,305.9223904263953
Khersonska,2011,5,0.4619503620753863,0.29324042618482116,0.2089971869588104,284.71765448248664,0.06356362136856167,304.03598363870145
Khmelnytska,2011,5,0.5374926250015659,0.3603737691662796,0.23343186626109852,277.3875265955856,0.08031606856881464,302.6397930171911
Kirovohradska,2011,5,0.4871620122981975,0.2875418995113912,0.18857981130164503,284.33023459683557,0.054404652919639564,305.6520062014658
Luhanska,2011,5,0.4925549985556692,0.27400906477091475,0.19774203525409614,285.315896724857,0.05785633792172462,305.6570583151299
Lvivska,2011,5,0.6039749023596845,0.45041030020767625,0.273073267173465,283.40875001876077,0.10870819801305427,300.1216444924072
Mykolaivska,2011,5,0.4767576257188395,0.2845908913441955,0.2044594802888835,284.7135370578572,0.05962785973161564,304.9816687460062
Odeska,2011,5,0.5188633980301921,0.3370957727651247,0.24030501491928002,284.24531457687664,0.0790291544856218,302.7696542527062
Poltavska,2011,5,0.5060073477520276,0.30784490351259397,0.19245651444618428,285.2837716929588,0.05859231860351557,307.20742185278715
Rivnenska,2011,5,0.536314838992984,0.3796352434292531,0.23738555296441072,283.53012754143253,0.08189192534930573,301.5309585793653
Sumska,2011,5,0.5372496674880237,0.3377016415049507,0.2233710521441799,284.99241830329396,0.07343934867897713,304.41609068144277
Ternopilska,2011,5,0.564931164309652,0.38480274327541947,0.242247986828729,280.97437271409524,0.08732156023691884,300.9376843883022
Vinnytska,2011,5,0.532254798707883,0.36456424975223184,0.231909791792427,281.15080287961865,0.08092862552316075,300.03945323229414
Volynska,2011,5,0.5472366001024146,0.387036961797919,0.24634281624208043,283.39885697998676,0.0837362739023081,301.20884548205925
Zakarpatska,2011,5,0.4944385066825313,0.3481004114274645,0.23961450171486834,244.91731298847031,0.07524947808077097,303.37667430281897
Zaporizka,2011,5,0.4770659253712728,0.2836012204456143,0.19246037774553254,285.082957307281,0.053666701916733256,305.265437866874
Zhytomyrska,2011,5,0.5236305265293948,0.3511393604222929,0.23310734310622086,283.1863372069955,0.07712658851235304,298.8597968313027
Avtonomna_Respublika_Krym,2011,6,0.3504198322650143,0.2166948541333813,0.1612210535259011,286.5850032024443,0.04114337456613657,304.1777542166969
Cherkaska,2011,6,0.5800848318819245,0.4097621270649719,0.23317608182466007,265.71489354367355,0.08037689125197428,253.55734164045293
Chernihivska,2011,6,0.5544227594255741,0.37531506835867856,0.2175835648015661,279.2607609087862,0.06921826163346355,266.75319608054764
Chernivetska,2011,6,0.5827577685479389,0.40630964302961825,0.25596498840910786,285.70643646322947,0.09419843129517587,298.73299145859505
Dnipropetrovska,2011,6,0.5333456137021138,0.35786788122075075,0.1848770357404385,274.41822540822363,0.04695541894494514,280.5391247084435
Donetska,2011,6,0.5366869687231521,0.3527741867421417,0.20601110806329365,287.74716007455345,0.05729881086413417,290.94909500166256
Ivano_Frankivska,2011,6,0.6030911266851285,0.42880130852471376,0.27284766998019727,286.16690221737053,0.10565058239049438,299.4746932910313
Kharkivska,2011,6,0.5625722668320198,0.37696381359529024,0.22389939518845492,267.4835622510849,0.06895789624787463,280.45913700799935
Khersonska,2011,6,0.41514811275429947,0.2740059282322774,0.16773844394002235,288.0552248219937,0.043134006784804946,265.567478480912
